Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	24	10.81081081081081	8.498621069723292E-8	HSD3B7, ACSS3, HMGCS1, ELOVL5, INSIG2, MOGAT1, ELOVL3, PIK3C2G, CROT, VLDLR, ACNAT2, ACNAT1, CPT1B, CYP2C38, PIGA, FASN, LIPG, MVD, ANGPTL4, SCD1, PTGDS, ST3GAL2, PTGES, IP6K2	175	728	20094	3.785368916797488	1.0325291948176663E-4	1.0325824599713799E-4	1.0317325978644077E-4
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	7	3.153153153153153	1.1913312605306164E-5	FICD, DDIT3, CREB3L2, EIF2AK3, DNAJB9, HSPA1B, HSPA1A	175	59	20094	13.623050847457627	0.014370505314988846	0.005691747680352602	0.005687063114360542
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	11	4.954954954954955	1.4053697976179264E-5	ELOVL5, FASN, ELOVL3, CROT, SCD1, CD36, ACNAT2, PTGDS, ACNAT1, CPT1B, PTGES	175	208	20094	6.072362637362638	0.016930405257563952	0.005691747680352602	0.005687063114360542
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	7	3.153153153153153	4.4002865790784894E-5	ELOVL5, FASN, LIPG, ELOVL3, SCD1, PTGDS, PTGES	175	74	20094	10.861621621621621	0.05206055774324314	0.01336587048395091	0.013354869767503216
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	15	6.756756756756757	0.0017816078158283226	NGFR, CAMK1D, HGF, EIF2AK3, CFLAR, FSTL1, GCLC, ERBB4, BAG3, PDE3A, GNRH1, ANGPTL4, ATF5, APBB3, HSPA1B	175	657	20094	2.6215264187866927	0.8854316935964951	0.361042563963015	0.3607454095893829
GOTERM_BP_DIRECT	GO:0019934~cGMP-mediated signaling	4	1.8018018018018018	0.0017829262417926666	GUCY1A2, GUCY1A1, PDE3A, CD36	175	28	20094	16.40326530612245	0.8856153993751591	0.361042563963015	0.3607454095893829
GOTERM_BP_DIRECT	GO:0009408~response to heat	5	2.2522522522522523	0.0025778866766541044	GCLC, TGFB1I1, HSPA1B, TRP53INP1, HSPA1A	175	66	20094	8.698701298701298	0.9565513894036132	0.4474474731621053	0.4470792036368689
GOTERM_BP_DIRECT	GO:0006695~cholesterol biosynthetic process	4	1.8018018018018018	0.005343675076270379	HMGCS1, INSIG2, APOA4, MVD	175	41	20094	11.202229965156794	0.9985114820879781	0.73733356458788	0.7367267056869846
GOTERM_BP_DIRECT	GO:0015909~long-chain fatty acid transport	3	1.3513513513513513	0.00546173010805837	PLIN2, CD36, CPT1B	175	13	20094	26.49758241758242	0.9987113889731085	0.73733356458788	0.7367267056869846
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	5	2.2522522522522523	0.007203330521910816	FICD, DDIT3, CREB3L2, EIF2AK3, DNAJB9	175	88	20094	6.524025974025974	0.9998467930175159	0.836404693100112	0.8357162941757498
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	3	1.3513513513513513	0.008260787092346785	ELOVL5, ELOVL3, SCD1	175	16	20094	21.529285714285713	0.9999580294432262	0.836404693100112	0.8357162941757498
GOTERM_BP_DIRECT	GO:0007263~nitric oxide mediated signal transduction	3	1.3513513513513513	0.008260787092346785	GUCY1A2, GUCY1A1, CD36	175	16	20094	21.529285714285713	0.9999580294432262	0.836404693100112	0.8357162941757498
