Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	30	9.868421052631579	3.6238422239776865E-14	CSF1R, NRROS, NCF1, CD5L, FPR1, WNK4, PIK3CD, PLA2G7, PTGS1, CLEC7A, CCL6, STAB1, CCR5, CD163, TREX1, SLC11A1, LY86, CYBB, LILRB4A, BMP6, P2RX7, TLR1, HCK, NAIP5, THEMIS2, AXL, KIT, IRF5, TLR3, CHST2	262	390	20094	5.899588960657663	7.473910379474091E-11	7.483234192513922E-11	7.414381190258346E-11
GOTERM_BP_DIRECT	GO:0002376~immune system process	32	10.526315789473683	2.2219833720929603E-12	C1QB, C1QA, CSF1R, FGL1, H2-DMA, CD5L, PIK3CD, NOD1, CFP, PIRB, H2-DMB1, CD300LG, CD55, CD74, H2-EB1, CD300A, ARID5A, LY86, TLR1, FCGR1, CD300C2, HCK, NAIP5, TYROBP, THEMIS2, OAS2, AXL, TBKBP1, IRF5, TLR3, C1QC, H2-AB1	262	526	20094	4.66583461527298	4.588430746466088E-9	2.2941978316859817E-9	2.2730889896510984E-9
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	11	3.618421052631579	1.876175612899645E-6	P2RX7, TLR1, CD74, TYROBP, CLEC7A, ARID5A, LAPTM5, NOD1, CCR5, TLR3, LILRA5	262	111	20094	7.600371363730143	0.0038668108334626305	0.0011256742498066716	0.0011153169564670458
GOTERM_BP_DIRECT	GO:0032731~positive regulation of interleukin-1 beta production	9	2.9605263157894735	2.180482808342221E-6	P2RX7, NAIP5, TYROBP, CLEC7A, CASP1, NOD1, CCR5, LILRA5, MNDAL	262	66	20094	10.458362248438585	0.004492579943721986	0.0011256742498066716	0.0011153169564670458
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	11	3.618421052631579	3.2764619075582352E-6	TLR1, FCGR3, TYROBP, CLEC7A, OAS2, ARID5A, CYBB, NOD1, CCR5, TLR3, LILRA5	262	118	20094	7.149501876051236	0.0067430677223292435	0.0013531787678215512	0.0013407282125728298
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	6	1.9736842105263157	4.703010540367866E-6	CD74, H2-EB1, H2-DMA, H2-DMB1, CTSS, H2-AB1	262	20	20094	23.008396946564886	0.009664732955153577	0.0016186194609766073	0.0016037265942654422
GOTERM_BP_DIRECT	GO:0006955~immune response	21	6.907894736842106	7.87313705992301E-6	H2-T24, CLEC4A1, CD74, H2-EB1, NRROS, H2-DMA, TREX1, LY86, IFI44, SMAD6, BMP6, FYB, CTSS, TLR1, CCL6, H2-DMB1, TNFSF10, CCR5, TLR3, TNFSFM13, H2-AB1	262	494	20094	3.2602991624687085	0.0161266425882568	0.0023225754326772876	0.0023012054892289253
GOTERM_BP_DIRECT	GO:0060907~positive regulation of macrophage cytokine production	6	1.9736842105263157	4.585947334888849E-5	P2RX7, CD74, LAPTM5, CASP1, NOD1, TLR3	262	31	20094	14.844127062299926	0.09035601743701349	0.01183747655818184	0.011728560308978231
GOTERM_BP_DIRECT	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response	5	1.644736842105263	7.3745487617064E-5	H2-EB1, H2-DMA, H2-DMB1, TREX1, H2-AB1	262	18	20094	21.30407124681934	0.14126083040477577	0.01692049243658191	0.016764807518279218
GOTERM_BP_DIRECT	GO:0045087~innate immune response	23	7.565789473684211	1.5810447161288316E-4	C1QB, C1QA, CSF1R, TREX1, ARID5A, LY86, CYBB, PIK3CD, NOD1, CFP, TLR1, FCGR1, HCK, NAIP5, CLEC7A, OAS2, AXL, IRF5, TBKBP1, WFDC17, TLR3, CD55, C1QC	262	710	20094	2.484474787657241	0.2785639547206795	0.03224084151020213	0.031944194542311656
GOTERM_BP_DIRECT	GO:0045730~respiratory burst	4	1.3157894736842104	1.717429814102777E-4	NCF1, SLC11A1, NCF4, CYBB	262	9	20094	34.08651399491094	0.29860194503835535	0.03224084151020213	0.031944194542311656
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	10	3.289473684210526	2.2877016495585978E-4	CSF2RB2, CSF1R, CNTFR, KIT, IRF5, CSF2RB, PIRB, F3, SH2B2, LILRA5	262	158	20094	4.854092182819596	0.3765361131440158	0.039367532552820876	0.03900531312497409
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	10	3.289473684210526	2.631538675763094E-4	ACVRL1, GRN, ITGB2, KDR, CYBB, PIK3CD, HMOX1, GATA2, F3, TLR3	262	161	20094	4.763643260158362	0.4192786548578522	0.040195955550739564	0.039826113828965205
GOTERM_BP_DIRECT	GO:0033674~positive regulation of kinase activity	7	2.302631578947368	2.740753945262344E-4	CSF1R, CD74, AXL, KIT, KDR, AJUBA, FGFR1	262	69	20094	7.780617324925323	0.4322324928802618	0.040195955550739564	0.039826113828965205
GOTERM_BP_DIRECT	GO:0006909~phagocytosis	8	2.631578947368421	3.2977002102168646E-4	HCK, P2RY6, SH3BP1, AXL, SLC11A1, NCF4, ITGB2, GATA2	262	100	20094	6.1355725190839685	0.4939336038859109	0.040195955550739564	0.039826113828965205
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	4	1.3157894736842104	3.309110142191635E-4	H2-EB1, H2-DMA, H2-DMB1, H2-AB1	262	11	20094	27.888965995836223	0.49512496219987256	0.040195955550739564	0.039826113828965205
