Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu01100:Metabolic pathways	36	16.216216216216218	9.813368821957927E-6	ACSS3, PFKFB3, MOGAT1, PIK3C2G, ACNAT2, ACNAT1, TYMP, CYP2C38, CYP2B9, LIPG, ME1, SCD1, PTGDS, 9130409I23RIK, ST3GAL2, GUCY1A2, GM45935, HSD3B7, GUCY1A1, HMGCS1, ELOVL5, ELOVL3, ALG2, ALG12, DPM1, RPIA, GCLC, PHOSPHO1, VNN1, P4HA1, PIGA, ETHE1, FASN, PDE3A, MVD, PTGES	96	1620	8992	2.0814814814814815	0.0020978676255678508	0.0021000609278989963	0.0020608074526111647
KEGG_PATHWAY	mmu03320:PPAR signaling pathway	7	3.153153153153153	3.4047377196974604E-4	HMGCS1, ME1, PLIN2, ANGPTL4, SCD1, CD36, CPT1B	96	89	8992	7.367041198501874	0.07028184110170732	0.030339355145169222	0.02977226439479223
KEGG_PATHWAY	mmu01040:Biosynthesis of unsaturated fatty acids	5	2.2522522522522523	4.253180627827461E-4	ELOVL5, ELOVL3, SCD1, ACNAT2, ACNAT1	96	34	8992	13.77450980392157	0.08701645973699101	0.030339355145169222	0.02977226439479223
KEGG_PATHWAY	mmu04540:Gap junction	6	2.7027027027027026	0.0021006385248432922	GUCY1A2, GUCY1A1, TUBB2B, TUBB2A, PRKCA, GNAI1	96	86	8992	6.534883720930233	0.36237788259306425	0.11238416107911614	0.11028352255427284
KEGG_PATHWAY	mmu01212:Fatty acid metabolism	5	2.2522522522522523	0.00408489204396934	ELOVL5, FASN, ELOVL3, SCD1, CPT1B	96	62	8992	7.553763440860215	0.5835368152641933	0.17483337948188774	0.17156546584671228
KEGG_PATHWAY	mmu05417:Lipid and atherosclerosis	8	3.6036036036036037	0.007752499582739686	DDIT3, EIF2AK3, APOA4, PRKCA, VLDLR, CD36, HSPA1B, HSPA1A	96	216	8992	3.4691358024691357	0.8109037578075009	0.27650581845104877	0.271337485395889
KEGG_PATHWAY	mmu04152:AMPK signaling pathway	6	2.7027027027027026	0.01059693767959044	PFKFB3, FASN, CREB3L2, SCD1, CD36, CPT1B	96	126	8992	4.4603174603174605	0.8977000202337002	0.3239635233474792	0.3179081303877132
KEGG_PATHWAY	mmu04979:Cholesterol metabolism	4	1.8018018018018018	0.014821590314678616	LIPG, APOA4, ANGPTL4, CD36	96	49	8992	7.64625850340136	0.9590564468071483	0.35995509392925995	0.35322696133245135
KEGG_PATHWAY	mmu00120:Primary bile acid biosynthesis	3	1.3513513513513513	0.015138298342819344	HSD3B7, ACNAT2, ACNAT1	96	18	8992	15.61111111111111	0.9617788841212829	0.35995509392925995	0.35322696133245135
KEGG_PATHWAY	mmu04270:Vascular smooth muscle contraction	6	2.7027027027027026	0.018012445131095414	ACTA2, GUCY1A2, GUCY1A1, MYH11, PRKCA, MYL9	96	144	8992	3.9027777777777777	0.9795506014343611	0.3854663258054418	0.3782613477530037
KEGG_PATHWAY	mmu04921:Oxytocin signaling pathway	6	2.7027027027027026	0.022758289980441722	CACNG7, GUCY1A2, GUCY1A1, PRKCA, MYL9, GNAI1	96	153	8992	3.673202614379085	0.9927485154458346	0.44275218689222984	0.4344764450811601
KEGG_PATHWAY	mmu04730:Long-term depression	4	1.8018018018018018	0.02534171714923437	GUCY1A2, GUCY1A1, PRKCA, GNAI1	96	60	8992	6.244444444444444	0.9958846302240366	0.4519272891613463	0.4434800501116015
KEGG_PATHWAY	mmu04010:MAPK signaling pathway	8	3.6036036036036037	0.03565247132624759	CACNG7, NGFR, ERBB4, HGF, DDIT3, PRKCA, HSPA1B, HSPA1A	96	294	8992	2.54875283446712	0.9995773465901953	0.5507128155290474	0.5404191180425231
KEGG_PATHWAY	mmu04022:cGMP-PKG signaling pathway	6	2.7027027027027026	0.036027941202834875	GUCY1A2, GUCY1A1, CREB3L2, PDE3A, MYL9, GNAI1	96	173	8992	3.2485549132947975	0.9996111416659775	0.5507128155290474	0.5404191180425231
KEGG_PATHWAY	mmu04924:Renin secretion	4	1.8018018018018018	0.046192319330562705	GUCY1A2, GUCY1A1, PDE3A, GNAI1	96	76	8992	4.9298245614035086	0.999959764029564	0.634198422251238	0.6223442461343924
KEGG_PATHWAY	mmu04926:Relaxin signaling pathway	5	2.2522522522522523	0.04741670446738228	ACTA2, COL3A1, CREB3L2, PRKCA, GNAI1	96	129	8992	3.6304909560723515	0.9999694343416481	0.634198422251238	0.6223442461343924
KEGG_PATHWAY	mmu00590:Arachidonic acid metabolism	4	1.8018018018018018	0.06243338775559935	CYP2B9, PTGDS, PTGES, CYP2C38	96	86	8992	4.3565891472868215	0.9999989803373377	0.7600417352990149	0.7458353477233323
KEGG_PATHWAY	mmu05020:Prion disease	7	3.153153153153153	0.06392874409057134	TUBB2B, TUBB2A, DDIT3, CREB3L2, EIF2AK3, HSPA1B, HSPA1A	96	268	8992	2.4465174129353233	0.9999992753861472	0.7600417352990149	0.7458353477233323
KEGG_PATHWAY	mmu04261:Adrenergic signaling in cardiomyocytes	5	2.2522522522522523	0.07694113934737737	CACNG7, TPM2, CREB3L2, PRKCA, GNAI1	96	152	8992	3.081140350877193	0.9999999637681386	0.8654180021623332	0.8492419647387383
