Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu05140:Leishmaniasis	10	3.289473684210526	1.0058602825556126E-6	FCGR1, FCGR3, H2-EB1, NCF1, H2-DMA, H2-DMB1, NCF4, ITGB2, CYBB, H2-AB1	138	70	8992	9.30848861283644	2.4640553032462265E-4	2.2876814378027774E-4	1.9888822295999656E-4
KEGG_PATHWAY	mmu04380:Osteoclast differentiation	12	3.9473684210526314	3.660503903278272E-6	FCGR1, CSF1R, FCGR3, TYROBP, SPI1, NCF1, NCF4, PIK3CD, SIRPA, LILRB4A, PIRB, LILRA5	138	128	8992	6.108695652173913	8.964230702951381E-4	2.2876814378027774E-4	1.9888822295999656E-4
KEGG_PATHWAY	mmu05150:Staphylococcus aureus infection	12	3.9473684210526314	3.660503903278272E-6	FCGR1, C1QB, C1QA, FCGR3, H2-EB1, H2-DMA, H2-DMB1, ITGB2, FPR1, H2-AB1, ICAM1, C1QC	138	128	8992	6.108695652173913	8.964230702951381E-4	2.2876814378027774E-4	1.9888822295999656E-4
KEGG_PATHWAY	mmu04145:Phagosome	14	4.605263157894736	3.7349901025351466E-6	H2-T24, MSR1, H2-EB1, NCF1, H2-DMA, NCF4, ITGB2, CYBB, CTSS, FCGR1, FCGR3, CLEC7A, H2-DMB1, H2-AB1	138	182	8992	5.012263099219621	9.146557312244008E-4	2.2876814378027774E-4	1.9888822295999656E-4
KEGG_PATHWAY	mmu04514:Cell adhesion molecules	12	3.9473684210526314	9.99339830842875E-5	H2-T24, NTNG2, H2-EB1, VCAM1, H2-DMA, H2-DMB1, SDC3, ITGB2, SIGLEC1, VSIR, H2-AB1, ICAM1	138	182	8992	4.296225513616817	0.024187722133815592	0.0048967651711300875	0.004257187679390648
KEGG_PATHWAY	mmu05416:Viral myocarditis	8	2.631578947368421	3.715698762910008E-4	H2-T24, H2-EB1, H2-DMA, H2-DMB1, ITGB2, CD55, H2-AB1, ICAM1	138	88	8992	5.923583662714098	0.08702934184755917	0.011607917986537361	0.01009178175972432
KEGG_PATHWAY	mmu05152:Tuberculosis	11	3.618421052631579	4.109205915452139E-4	FCGR1, TLR1, CD74, FCGR3, H2-EB1, CLEC7A, H2-DMA, H2-DMB1, ITGB2, CTSS, H2-AB1	138	180	8992	3.9819645732689204	0.09579234257128166	0.011607917986537361	0.01009178175972432
KEGG_PATHWAY	mmu04015:Rap1 signaling pathway	12	3.9473684210526314	4.1138510031770196E-4	CSF1R, ITGB2, KIT, FPR1, KDR, ADCY4, PIK3CD, PLCE1, ARAP3, ADCY7, FYB, FGFR1	138	214	8992	3.653799268590004	0.09589528207284492	0.011607917986537361	0.01009178175972432
KEGG_PATHWAY	mmu04612:Antigen processing and presentation	8	2.631578947368421	4.264133137911684E-4	H2-T24, CD74, H2-EB1, H2-DMA, H2-DMB1, HSPA2, CTSS, H2-AB1	138	90	8992	5.79194847020934	0.0992193855339859	0.011607917986537361	0.01009178175972432
KEGG_PATHWAY	mmu04610:Complement and coagulation cascades	8	2.631578947368421	5.206276562938642E-4	C1QB, C1QA, ITGB2, VSIG4, SERPINA1E, F3, CD55, C1QC	138	93	8992	5.605111422783232	0.11978315873256484	0.012371944380958354	0.010756016951608691
